"ID";"Ano";"Número";"Tipo de Matéria Legislativa/Sigla";"Tipo de Matéria Legislativa/Descrição";"Autorias";"Texto Original";"Ementa"
"25671";"2026";"1";"AC";"ACÓRDÃO";"Tribunal de Contas";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25671/198_2026_acordao_tribunal_de_contas.pdf";"ACÓRDÃO DE PARECER PRÉVO Nº 128/2025 - DO TRIBUNAL DE CONTAS DO ESTADO DO PARANÁ, REFERENTE AOS AUTOS DE PRESTAÇÃO DE CONTAS DO MUNICÍPIO DE CAMPO LARGO, RELATIVO AO EXERCÍCIO DE 2023."
"25504";"2026";"1";"ATA-E";"ATA SESSÃO EXTRAORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25504/ata_01a_sessao_extraordinaria_2026.pdf";"ATA DA 01ª SESSÃO EXTRAORDINÁRIA REALIZADA NO DIA 26/01/2026."
"26761";"2026";"2";"ATA-E";"ATA SESSÃO EXTRAORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26761/ata_02a_sessao_extraordinaria_2026_2.pdf";"ATA DA 2ª SESSÃO EXTRAORDINÁRIA REALIZADA NO DIA 06 DE JULHO DE 2026."
"25575";"2026";"1";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25575/ata_01a_sessao_ordinaria_2026.pdf";"ATA DA 01ª SESSÃO ORDINÁRIA REALIZADA NO DIA 03 DE FEVEREIRO DE 2026."
"25664";"2026";"2";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25664/ata_02a_sessao_ordinaria_2026.pdf";"ATA DA 02ª SESSÃO ORDINÁRIA REALIZADA NO DIA 09 DE FEVEREIRO DE 2026."
"25670";"2026";"3";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25670/ata_03a_sessao_ordinaria_2026.pdf";"ATA DA 03ª SESSÃO ORDINÁRIA REALIZADA NO DIA 19 DE FEVEREIRO DE 2026."
"25701";"2026";"4";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25701/ata_04a_sessao_ordinaria_2026.pdf";"ATA DA 04ª SESSÃO ORDINÁRIA REALIZADA NO DIA 23 DE FEVEREIRO DE 2026."
"25798";"2026";"5";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25798/ata_05a_sessao_ordinaria_2026.pdf";"""ATA DA 05ª SESSÃO ORDINÁRIA REALIZADA NO DIA 02 DE MARÇO DE 2026."""
"25869";"2026";"6";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25869/ata_06a_sessao_ordinaria_2026.pdf";"ATA DA 06ª SESSÃO ORDINÁRIA REALIZADA NO DIA 09 DE MARÇO DE 2026."
"25942";"2026";"7";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/25942/ata_07a_sessao_ordinaria_2026.pdf";"ATA DA 07ª SESSÃO ORDINÁRIA REALIZADA NO DIA 16 DE MARÇO DE 2026."
"26022";"2026";"8";"ATA-O";"ATA SESSÃO ORDINÁRIA";"RAFAEL FREITAS";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26022/ata_08a_sessao_ordinaria_2026.pdf";"ATA DA 8ª SESSÃO ORDINÁRIA REALIZADA NO DIA 23 DE MARÇO DE 2026."
"26099";"2026";"9";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26099/ata_09a_sessao_ordinaria_2026.pdf";"ATA DA 09ª SESSÃO ORDINÁRIA REALIZADA NO DIA 06 DE ABRIL DE 2026."
"26175";"2026";"10";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26175/ata_10a_sessao_ordinaria_2026.pdf";"ATA DA 10ª SESSÃO LEGISLATIVA REALIZADA NO DIA 13 DE ABRIL DE 2026."
"26187";"2026";"11";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26187/ata_11a_sessao_ordinaria_2026.pdf";"ATA DA 11ª SESSÃO ORDINÁRIA REALIZADA NO DIA 22 DE ABRIL DE 2026."
"26259";"2026";"12";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26259/ata_12a_sessao_ordinaria_2026.pdf";"""ATA DA 12ª SESSÃO ORDINÁRIA REALIZADA NO DIA 27 DE ABRIL DE 2026."""
"26335";"2026";"13";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26335/ata_13a_sessao_ordinaria_2026.pdf";"ATA DA 13ª SESSÃO ORDINÁRIA REALIZADA NO DIA 04 DE MAIO DE 2026."
"26363";"2026";"14";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26363/ata_14a_sessao_ordinaria_2026.pdf";"ATA DA 14ª SESSÃO ORDINÁRIA REALIZADA NO DIA 11 DE MAIO DE 2026."
"26424";"2026";"15";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26424/ata_15a_sessao_ordinaria_2026.pdf";"ATA DA 15ª SESSÃO ORDINÁRIA REALIZADA NO DIA 18 DE MAIO DE 2026."
"26525";"2026";"16";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26525/ata_16a_sessao_ordinaria_2026.pdf";"ATA DA 16ª SESSÃO ORDINÁRIA REALIZADA NO DIA 25 DE MAIO DE 2026."
"26536";"2026";"17";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26536/ata_17a_sessao_ordinaria_2026.pdf";"ATA DA 17ª SESSÃO ORDINÁRIA RELIZADA NO DIA 01º DE JUNHO DE 2026."
"26604";"2026";"18";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26604/ata_18a_sessao_ordinaria_2026.pdf";"ATA DA 18ª SESSÃO ORDINÁRIA REALIZADA NO DIA 8 DE JUNHO DE 2026."
"26671";"2026";"19";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26671/ata_19a_sessao_ordinaria_2026.pdf";"ATA DA 19ª SESSÃO ORDINÁRIA REALIZADA NO DIA 15 DE JUNHO DE 2026."
"26678";"2026";"20";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26678/ata_20a_sessao_ordinaria_2026.pdf";"ATA DA 20ª SESSÃO ORDINÁRIA REALIZADA NO DIA 22 DE JUNHO DE 2026."
"26683";"2026";"21";"ATA-O";"ATA SESSÃO ORDINÁRIA";"POLACO PRETO";"http://sapl.campolargo.pr.leg.br/media/sapl/public/materialegislativa/2026/26683/ata_21a_sessao_ordinaria_2026.pdf";"ATA DA 21ª SESSÃO ORDINÁRIA REALIZADA NO DIA 03 DE AGOSTO DE 2026."
