data_sessao;tipo_materia;numero_materia;ano_materia;ementa_curta;nome_vereador;voto
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";ALEXANDRE GUIMARÃES;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";ANDRÉ GABARDO;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";ATHOS MARTINEZ;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";GENÉSIO DA VITAL;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";GUSTAVO TORRES;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";JUNIOR ANDREASSA;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";LUIZ SCERVENSKI;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";POLACO PRETO;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";RAFAEL FREITAS;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";ROGERIO DAS TINTAS;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";ROGÉRIO DA VIAÇÃO;Sim
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";SARGENTO LEANDRO CHRESTANI;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";SENSEI CLOVIS;Não
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";TOMAZINA;Não
