data_sessao;tipo_materia;numero_materia;ano_materia;ementa_curta;nome_vereador;voto
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;ALEXANDRE GUIMARÃES;Não Votou
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;ANDRÉ GABARDO;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;ATHOS MARTINEZ;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;GENÉSIO DA VITAL;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;GUSTAVO TORRES;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;JUNIOR ANDREASSA;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;LUIZ SCERVENSKI;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;POLACO PRETO;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;RAFAEL FREITAS;Sim
2026-06-08;PROJETO DE LEI DO LEGISLATIVO;40;2026;ALTERA O ART. 9° DA LEI MUNICIPAL N° 3.624/2023, PARA INCLUIR O PROTOCOLO LEGISLATIVO NO ÂMBITO DO SETOR LEGISLATIVO DO DEPARTAMENTO JURIDICO/LEGISLATIVO DA ...;ROGERIO DAS TINTAS;Sim
